id,showname
405,"SPITZER, TODD"
406,Sam Farr*
407,Mary Christian Heising
408,"GIPSON, MIKE A."
409,"QUINTERO, FRANK"
410,"SPRENGER, BARBARA"
411,"LIVENGOOD, ROBERT,"
412,"DONNELLY, TIM"
413,Pete Peterson
414,Judy Chu*
415,Juan M. Hidalgo Jr.
416,"VERONESE, JOE ALIOTO"
417,Terry Phillips
418,"DALAL, RAJIV"
419,"SHEN, GEORGE"
420,Barbara Boxer*
421,"MAGGARD, MIKE"
422,"WILCOX, DAVID C."
423,"WOOD, CARL"
424,Rocky J. Chávez*
425,"SIGG, CLAY W."
426,Ardy Kassakhian
427,"POOCHIGIAN, CHUCK"
428,"KEHOE, CHRISTINE"
429,Adrienne Nicole Edwards
430,Bill Quirk
431,"GARCIA, RAQUEL"
432,Casey Lucius
433,"DEAZTLAN, AMALIA U."
434,"LOGUE, DANIEL R."
435,"JOBRACK, SOL"
436,"BLOUNT, ANDREW"
437,Linda K. Jones
438,"MURRAY, KEVIN"
439,"MIKULACO, RONALD P."
440,"HAMMOND, LAUREN R."
441,"ALLEN, TRAVIS"
442,James L. Andion
443,"KURZNER, PHILLIP"
444,Shirley N. Weber*
445,"DECKER, BARBARA V."
446,Van Tran
447,Jane Kim
448,"LESLIE, R. TIM"
449,"WELLS, BILL"
450,"BAGLEY, SHAWN"
451,"ANDERSON, ADAM"
452,"SVONKIN, SCOTT"
453,"SAMUELIAN, STEVEN N."
454,"ALDANA, MANUEL"
455,Kenneth W. Wright
456,"CUTHBERT, ROBERT"
457,"ROTH, RICHARD D."
458,Diane Gabl
459,"ROBLES, SYLVIA A."
460,"HARMON, HEIDI"
461,"NAPOLI, KATHY CHAVEZ"
462,"Linda ""Ellie"" Black"
463,Paulina Miranda
464,"COSTA, JIM"
465,S. Monique Limón
466,"OBERNOLTE, JAY"
467,"FLOREZ, DEAN"
468,"RAMSEY, CHARLES TILLMAN"
469,"WAPNER, ALAN"
470,"SALINAS, SIMON"
471,"FRAZIER JR., JAMES L."
472,"CHOI, STEVEN"
473,"ESCUTIA, MARTHA M."
474,Wesley Chesbro*
475,Dave Jones
476,"SANDOVAL, GABRIEL"
477,"SKLAR, ERIC"
478,Lenore Solis
479,Ashley Swearengin
480,Dan Lungren*
481,"MONNING, WILLIAM W."
482,"SMITH, MARIANNE BOPP"
483,"NUNEZ, FABIAN"
484,John Chiang*
485,"BUCK, JILL ANN"
486,"TOM, UMBERG"
487,Barbara Lee
488,"LEACH, LYNNE C."
489,"BLAIS, NEIL"
490,Edward Headington
491,Christina Gagnier
492,Matt Dababneh
493,"MEGAW, SHARI"
494,Gloria Negrete McLeod*
495,"JACKSON, HANNAH-BETH"
496,"CARLSON, KEITH"
497,"MONTANEZ, CINDY"
498,"THOMAS, STEVE"
499,Ken Vogel
500,"VINCENT, EDWARD"
501,Larry A. Wilske
502,Darrell R. Fong
503,"MURRAY, CYNTHIA L."
504,Nancy Skinner
505,Pat Meagher
506,"STEINER, DUSTIN M."
507,"Jose ""Joe"" Moreno"
508,"POPP, ELENA"
509,"BROWN, RYAN K."
510,"BERRYHILL, TOM"
511,"MEUSER, MARK"
512,Howard L. Berman
513,Ben Hueso*
514,Mike Morrell*
515,"GOULD, JOHN"
516,"WIECKOWSKI, ROBERT"
517,Ryan Downing
518,"TAYLOR, RENEE N."
519,Rene Pineda
520,"HAUGHEY, THOMAS P."
521,"PHILLIPS, STEVE"
522,Bob Hertzberg
523,"POPE, MATTHEW J."
524,Dawn Ortiz-Legg
525,"RITCHIE, EDWARD H"
526,"WARNER, RUSS"
527,Steve Fox*
528,"HARE, DAVID M."
529,Eileen MacEnery
530,"Edwin ""Ed"" Chau"
531,Peter Amundson
532,"DHILLON, HARMEET K."
533,"PINE, DAVE"
534,Bob Wieckowski
535,"FLYNN, JOHN T."
536,"BILLECI, CHRISTINA R."
537,"JONES, WILLIAM L."
538,Randy Loftin
539,Nancy Pelosi*
540,"GROVE, SHANNON"
541,"SBRANTI, TIM"
542,Sebastian Mark Ridley Thomas*
543,Sally J. Lieber
544,"MAC MURRAY, JOHN P."
545,Jerry Brown
546,Rick D. Redding
547,"NOWATKA, PAUL M."
548,"BIGELOW, FRANK"
549,"CHAVEZ, EDWARD \ED\"""""
550,"NORBY, CHRIS"
551,"AGBALOG, ROMEO"
552,Rob Rowen
553,"CAMPOS, DAVID"
554,Palmer Kain
555,"BACA, JEREMY"
556,"MOBLEY JR. , JACK M."
557,Tue Phan
558,"ALARCON, RICHARD"
559,Darrell Issa
560,"NEAL, STEVE"
561,"HOLDEN, NATE"
562,"AMMIANO, TOM"
563,John Coffey
564,"SAENZ, EDGAR"
565,"MCGARRY, NELLIE"
566,Loretta Sanchez*
567,"MC GUIRE, MIKE"
568,"GORELL, JEFF"
569,"TUROCI, TODD L."
570,"ELLIS, STANLEY WILLIAM"
571,"BATEY, WILLIAM"
572,"PARKER, DARREN W."
573,"CACCIOTTI, MICHAEL ANTHONY"
574,Hillary Clinton
575,"MILLER, DAVID D."
576,Phil Paule
577,"FERGUSON, JAMES C."
578,"BERMAN, MARC"
579,"ALIOTO-PIER, MICHELA"
580,"DUNN, JOSEPH"
581,"DAUCHER, LYNN"
582,"CONRAD, WILLIAM"
583,"BARIC, STEVE"
584,"Gerald ""Gerry"" Manata"
585,"LANCASTER, CHRISTOPHER W."
586,Baron Bruno
587,"QUINTERO, ANDRE"
588,"RUSNAK, VICTORIA"
589,John A. Perez*
590,Angel Cardenas
591,Mike Honda*
592,"ALBERT-SHERIDAN, LENORE L."
593,Jill Stein
594,"PARDUE-OKIMOTO, ROCHELLE"
595,Patricia A. Kotze-Ramos
596,"BARRIENTOS, MARY"
597,"ERLICH, DAVID M."
598,"MENDOZA, SANDRA Y."
599,"DAVIS, STEVEN"
600,"PUGNO, ANDREW"
601,"HOFFMAN, ANDRA"
602,Robert Murray
603,Adam B. Schiff
604,"ARNERICH, NEWELL"
605,Gilbert V. Gonzales
606,"FIREBAUGH, MARCO"
607,"SANCHEZ JR., ANGEL"
608,Ami Bera
609,"CASSIDY, ANDREW J."
610,Walter O. Villarreal
611,Tom Torlakson
612,Julia Brownley
613,"DUNN, JOE"
614,"CARLSTROM, ERIN"
615,"MC CARTY, KELLY"
616,Jimmy Panetta
617,"NICKEL III, GEORGE W."
618,"GROVEMAN, BARRY"
619,"CHANG, LING-LING"
620,Zoe Lofgren*
621,David B. Secor
622,"HANCOCK, LONI"
623,"PEACE, STEVE,"
624,"HODGE, JASON"
625,"KEENE, RICHARD J."
626,Dave Peiser
627,"BREWER, MARILYN C."
628,"FRANDSEN, GREY"
629,Phil Ting
630,"BROWN, ROBERT K. \ROB\"""""
631,"TORGAN, BRADLY S."
632,Suzanne Joyce Savary
633,Bob Filner*
634,Lucille Kring
635,Conrad Melton
636,"PERKINS, ROBERT E."
637,"DAVIS, SAUNDRA"
638,Gil Navarro
639,Gloria Estela La Riva
640,"LOWE, ROBIN"
641,Matthew Herold
642,Rodney D. Robinson
643,Steve Knight
644,"ING, MITCHELL"
645,N Eugene Cleek
646,Bill Berryhill*
647,"MAGEE, ROBERT E."
648,"MEDINA, ABIGAIL M."
649,"RICASA, ARLIE"
650,"HOWARD, JANE"
651,Abel Maldonado
652,"HOLLINGSWORTH, DENNIS"
653,Kevin De Leon
654,Tony Cardenas*
655,Lincoln Pickard
656,Brian Maienschein*
657,"STINCHCOMBE, KAI H."
658,Michael Crimmins
659,Nathan Mintz
660,Autumn Burke
661,"SIEGLOCK, JACK A."
662,"BLANTON, STEVE"
663,John Tavaglione
664,Diane L. Harkey*
665,Greg Rodriguez
666,"NEWSOM, GAVIN"
667,Julie Craven
668,"MARTINEZ, DIANE"
669,"FEUER, MICHAEL NELSON"
670,K. Bruce Brown
671,"MACALUSO, FRANK A."
672,"SPEIER, JACQUELINE"
673,"GLOVER, MICHAEL G."
674,"DOUGLAS, FARRAH"
675,"BONHACH, HEATHER PETERS"
676,"SEGURA, MARTA"
677,"FOSTER, BOB"
678,"WERDEGAR, KATHRYN"
679,Young Kim
680,"MC CAMMON, WILLIAM J."
681,Susan A. Davis*
682,"CHAVEZ, RENEE"
683,"MOUNTJOY, DENNIS"
684,"RAO, ROBERT"
685,"NESTANDE, BRIAN"
686,Linda T. Sánchez*
687,Henry J. Bestwick
688,Gary DeLong
689,"HEWITT, JEFFREY"
690,"KROUSE, THOMAS"
691,"MC FADDEN, BRADLEY J."
692,"BOGH, RUSSELL V."
693,"EISENHUT, JOHN"
694,"SMITH, ROBERT W."
695,"LOWENTHAL, JOSH"
696,Ted Gaines*
697,"MORROW, BILL"
698,Kevin Mullin
699,Adam Joshua Miller
700,Jose Solorio
701,Michael Williamson
702,"RIGHEIMER, JIM"
703,"VELAZQUEZ, IGNACIO"
704,"EBENSTEIN, JEFF"
705,"KELLEY, DAVID G."
706,"ROWEN, ROBERT J."
707,Steve Fazio
708,Casey C. Higgins
709,"BROWN JR., WILLIE L."
710,"ALLARD II, JOHN B."
711,"FROST, ROBERT"
712,"DEL CARLO, MATTHEW S."
713,Bill Monning*
714,"INKS, JOHN M.,"
715,Merlin Froyd
716,"RIDLEY-THOMAS, MARK"
717,"K.H. ""Katcho"" Achadjian*"
718,"KURTH, DON"
719,"WILSON, THOMAS W."
720,"SKIPWORTH, STANLEY T."
721,"HOGUE, ERIC K."
722,"VOORAKKARA, SID"
723,"NEAL, KATHY"
724,"Robert ""Bob"" Huff*"
725,"GRIESS, GABE"
726,Barack Obama*
727,"TRAN, JOHN"
728,"JAFRI, KHALID JEFFREY"
729,"CABALLERO, ANNA"
730,Garrett M. May
731,"MULLIN, GENE"
732,"HARTZ, BARRY K."
733,"LLOYD, JUDY BIVIANO"
734,Eric Shooter Hickok
735,"NAVA, PEDRO I."
736,"SANCHEZ, ANTONIO"
737,"MILSTEIN, ELEYNE S."
738,"FILSON, STEVE"
739,"DE OCAMPO, ALEX"
740,"CASERTA, DOMINIC J."
741,Phil Jennerjahn
742,Brigham Sawyer Smith
743,Michael Allen
744,Das Williams*
745,"DOVINH, JOE"
746,"ROTHMAN, JASON A."
747,"URIAS, BRYAN"
748,David R. Hernandez
749,"ALPERT, DEDE"
750,"RASMUSSEN, LESA"
751,Dakin Sundeen
752,Kerry J. Nelson
753,"MURRAY, ADAM"
754,"KENNEDY, JOHN"
755,"NELSON, CRISTI"
756,Karen Brooks
757,Martha E. Flores-Gibson
758,"Fotios ""Frank"" Tsimboukakis"
759,"BEECHAM, NANCY LEE"
760,"JACOBI, VERONICA S."
761,"ANDERSON, KATE"
762,"VIDAL, THOMAS H."
763,"GREEN, MARK"
764,"CAMPOS, NORA"
765,"AGUIRRE, RICHARD"
766,"PACHECO, GAYLE E."
767,"BENOIT, JOHN"
768,Miguel Santiago
769,"BIRNBAUM, RON"
770,Larry Aceves
771,Loren Hanks
772,Stephen C. Smith
773,"ROBINSON, JACQUE"
774,"Suzanna ""Sam"" Aguilera-Marrero"
775,Glen Ratcliff
776,"COOLEY, KEN"
777,"SMITH, MEL"
778,"BENNETT, JEFFREY P."
779,"BLAKESLEE, SAM"
780,"HODGES, SHERRY M.,"
781,"GARCIA, EDUARDO"
782,Rudy Salas*
783,"IGLESIAS, CECILIA"
784,"WOLK, LOIS"
785,"SALADINO, MARK J."
786,Robert M. Hammond
787,Duncan Hunter
788,"PARRA, NICOLE"
789,Ken Arnold
790,"LANCASTER, GORDON K."
791,"PANAHI, SEAN JAY"
792,"CRISTICH, CRISTI L."
793,"THOTTAM, PETER L."
794,"HUNTER, TRICIA RAE"
795,"MARQUEZ, LUIS"
796,Evelyn Li
797,Ed Chau
798,"QUIRK, BILL (WILLIAM J.)"
799,"HAYASHI, MARY"
800,Emilio Huerta
801,"OLBERG, KEITH R."
802,"LAND, ABBE"
803,"STEINMEIER, JOANN"
804,"BLAKE, JUSTIN"
805,"BOSETTI, RICK A."
806,"SMITH, RON"
807,Mark Starritt
808,"TORLIATT, PAMELA"
809,Jaime Patino
810,"Marco Antonio ""Tony"" Leal"
811,Ken Calvert
812,"BRANDT, JIM"
813,"MC COY, ROB"
814,Dianne Feinstein*
815,"WICKMAN, RENEA"
816,"ALVAREZ, CLAUDIA"
817,"DAVIS, PATRICIA S."
818,Nicholas Sclavos
819,Peter O. Anderson
820,"UEBERROTH, PETER"
821,"GONZALES, RICARDO M."
822,"STODDER, SETH"
823,"KIGHT, CARL P."
824,"MENDOZA, RUDY"
825,Abram Wilson
826,"LAURITSEN, JOHN"
827,"HOLT PFEILER, LORI"
828,"ZACARIAS, HILDA"
829,Ed Royce*
830,"Joe Baca, Jr."
831,"SCHNUR, DAN"
832,Karen Bass*
833,"KRIEGEL, DOUG"
834,"HOLDEN, CHRIS"
835,Judy Jones
836,"MISSAKIAN, CRAIG"
837,"LEMPERT, TED"
838,"VON SZELISKI, HEIDI J."
839,"CAPLES, BRIAN"
840,Frank Miranda
841,Bryan Caforio
842,"LEJA, JAN"
843,Fiona Ma
844,Toni Atkins
845,"RODRIGUEZ, DIANA"
846,Esmeralda Castro
847,Mark S. Reed
848,Ramiro Alvarado
849,"MIGDEN, CAROLE"
850,"HOSTERMAN, JENNIFER"
851,"STRICKLAND, AUDRA"
852,"REED, ROMAN"
853,Charles E. Wilkerson
854,"SINGER, DIANE"
855,"HARRIS, EDWARD B."
856,Laurence Kotlikoff
857,"SANDER, DAVID"
858,"MITZELFELT, BRAD"
859,Ken Anton
860,"COSTA, JAMES M."
861,Claire Chiara
862,Joaquin Arambula
863,"RICO, STEPHEN F."
864,"VIDAK, JAMES ANDREW"
865,"VOEPEL, RANDY G."
866,"JEFFRIES, KEVIN D."
867,Salud Carbajal
868,"TOMAN, MARY"
869,"SIMITIAN, S. JOSEPH"
870,"KOLSKI, CHRIS"
871,"WATERFIELD, ETTA"
872,"STROM-MARTIN, VIRGINIA"
873,Lee C. Rogers
874,Ofelia Velarde-Garcia
875,"ARAMBULA, JUAN"
876,"CALDERON, IAN"
877,"LOPEZ, LUIS"
878,"KELLY, DAN"
879,"PAVLEY, FRAN"
880,"MILES JR., LAWRENCE W."
881,"ORTEGA, BARBARA"
882,Mike Thompson
883,"PERKINS, CHARLES E."
884,"ALDEN, JOHN W."
885,Jonathan Zachariou
886,"PAPAN, GINA"
887,Bob Dutton
888,"SIMONOFF, MARTY"
889,"SHAW, LYNNETTE M."
890,Dave Miller
891,"FRIEDMAN, JONATHAN"
892,"BHATT, ASHIK K."
893,"CHIU, DAVID"
894,"MADISON, JONATHAN E."
895,"VERRONE, PATRIC"
896,"GROSE, TED"
897,"ROACH, DERRICK"
898,"QUINONES, PEARL"
899,"ORTIZ, DEBORAH V."
900,"CHACON, HECTOR"
901,Mike Everling
902,"GLAAB, PAUL"
903,"LINCOLN, KEVIN"
904,"DE VORE, CHARLES S."
905,"BRACAMONTES, MICHAEL"
906,Doug Applegate
907,"Michael ""Mickey"" Harrington"
908,"ERVIN, JOHNATHON"
909,"MC GILL, MICHAEL JOSEPH"
910,Anna G. Eshoo
911,"YEAGER, KEN"
912,"JAHN, WILLIAM E."
913,"Alfonso Faustino, Jr."
914,"LIU, CAROL"
915,"DELGADILLO, ROCKARD J."
916,"PAPAN, VIRGINIA"
917,"SLONSKY-BREAULT, ROSEANN"
918,"KEELEY, FRED"
919,Joel Block
920,"ANDREAS, MARY ANN"
921,"Curren D. Price, Jr.*"
922,"PEREZ-ESTOLANO, KATHERINE A."
923,"MARTINEZ, VICTORIA"
924,"LARRABEE, JASON"
925,"HESSELEIN, DERRICK C."
926,"BERRYHILL, THOMAS C."
927,"REYNAGA-EMETT, CORKY"
928,"JOHN, ALDEN"
929,"ARMENTA, CHRISTOPHER R."
930,"SPENCE, MIKE"
931,"STEPHENS, ROBERT L."
932,Richard Reed
933,Kim Vann
934,"HARMAN, DIANNE D."
935,Jerry Hayden
936,Patrick D. Hogan
937,"MACHADO, MICHAEL J."
938,"PEREZ, LETICIA"
939,"LA MALFA, DOUG"
940,"WINSLOW, WILLIAM L."
941,"DYMALLY, MERVYN"
