dbname,id
Honor Mimi Robson,82
Nathaniel Tsai,83
"HORTON, JEROME",84
Mike Hudson,85
"PARKER, CHRIS R.",86
"BLUMENFELD, ANDREW",87
"SALARNO, NINA",88
"SMITH, KATHERINE H.",89
"DAVIS, MICHAEL",90
"BROWN, DAVE",91
"SANDOVAL, GREG",92
Tony Teora,93
"NEWMAN, JOSH B.",94
"NASARENKO, ERIK",95
"NGUYEN, PHU",96
"FURUTANI, WARREN",97
Patrick J. Hurley,98
Sherry Hodges,99
Paul Clay,100
"SHER, BYRON",101
Mariko Yamada,21
"HALDERMAN, LINDA F.",102
Adam J. Miller,103
"GRAYSON, ARI E.",104
"WORTHINGTON, KRISS",105
"WILLIAMS, ROBERT",106
"MAYER, VIRGINIA GINNY",107
"PARRISH, CLAUDE",108
"MATHYS, CHRIS",109
"LOW, EVAN",110
"RUSSELL, JAMES A.",111
"BARNES, JANET V.",112
"OROZCO, MARK",113
"RILEY, ANTHONY",114
"MASIEL, ANDREW",115
"PHARES, ANN VENTURA",116
John Hernandez,117
"COOK-KALLIO, CHERYL",118
Maxine Waters,119
Larry Johnson,120
Reggie Jones-Sawyer,121
"LARA, RICARDO",122
"RIVAS, ROBERT",123
Shawn Hoffman,124
Carlos Santamaria,125
"BILBREY, MICHAEL",126
"WALCH, COLIN",127
"FROMMER, DARIO",128
Mark Stone*,129
"BERG, PATTY",130
Jim Silva*,131
Cathleen Galgiani*,132
Gil Cedillo,133
"SHAW, ELAINE D.",134
"SMITH, CHRISTY",135
Ken Park,136
"STIRLING, LARRY",137
Freddie Rodriguez,138
"CERVANTEZ ALEJO, KARINA",139
"GARRICK, MARTIN W.",140
Sandré R. Swanson*,141
"HANLEY, KEVIN J.",142
Damon Dunn,143
James H. Kimber,144
"KASHKARI, NEEL",145
"MARGETT, ROBERT",146
"ARANDA, RUDY",147
Tim Gorsulowsky,148
"SILVA , JAMES W.",149
"CONTI, DIANA",150
William O'Callaghan Leader,151
"RAMANI, SUNDER",152
"MILLER, JEFF",153
"Isadore Hall, III",154
Jim Wood,155
"ONG, JENNIFER H.",156
Colin Patrick Walch,157
"BLAKE, GORDON",158
"WESTWOOD, MARK DAVID",159
"DAVENPORT, ROBERT",160
"PETERSON-MORE, DIANA L.",161
"BRIGGS, MIKE",162
Gladys O. Miller,163
Carl DeMaio,164
"JELINCIC JR., JOSEPH JOHN",165
Paul Cook*,166
"Edmund G. ""Jerry"" Brown*",167
Bob Brunton,168
"TAYLOR, CARLOS",169
"WAKIM, SAM",170
Jean Fuller*,171
"LEVINE, MARC",172
"HORNE, SUE",173
"FLAHERMAN, MICHAEL T.",174
"LUTNESS, CAROLE L.",175
Cristina Garcia*,176
"LIN, MATTHEW",177
Jared Huffman,178
Alex Henthorn,179
Angela Rupert,180
"MACCARLEY, MARK",181
"RISHOFF, LOUISE C.",182
Richard Pan*,183
"CALDERON, RONALD",184
"GOLD, RONALD",26
"POLAKOFF, PHILLIP LEE",185
Chris Mitchum,186
Michael J. Esswein,187
Mitt Romney,188
Paul Cook,166
"CABALDON, CHRISTOPHER",189
"BROWN, CHERYL",75
James (JD) Bennett,190
"MC QUISTON, JON A.",191
"SOTO, DANIELLE",192
Norma J. Torres,193
"ADAMS, ANTHONY",194
"CRETTOL, JIM",195
Raul Bocanegra*,196
"OLIVIER, ART",197
"MACIAS, MICHAEL R.",198
"SANFORD, THERESA",199
"COHELAN, TIMOTHY",200
"BARKAN, ELLIOTT ROBERT",201
"CORREA, LOU",202
"ARMENTA, DAVID",203
Ruth Musser-Lopez,50
"CIARDELLA, RICHARD",204
"HOUSTON, GUY",205
"BOSWELL, JOSEPH JOHN",206
"MOORS, RAYMOND KENNETH",207
"BRIBIESCA , JUAN M.",208
"BLOISE, NICK E.",209
"GOMEZ, JIMMY",210
"VALENTINE, ROBERT S.",211
"MEGAW, JAMES",212
Greg Krikorian,213
Peter Kuo,214
Andy Whallon,215
Sierra Roberts,216
"FIGUEROA, LIZ",217
Blanca E. Rubio,218
"DAVIS, PATTY",219
"HILL, GREGORY CHARLES",220
Jay Chen,221
"LARA-GARDNER, JOSEPH",222
"WILSON, MICHAEL L.",223
"RUPERT, ANGELA",180
"YOUNG, STEVEN R.",224
Arturo Enrique Alas,225
"MUNSON, MATTHEW G.",226
"TAMOM, VANNARITH THOMAS",227
"PADERES, XOCHITL",228
Leo Hamel,229
"PARK STEEL, MICHELLE",230
"TURNER, EDWARD R.",231
Mike Maturen,232
"MICHAEL, WILSON",233
Reginald Byron Jones-Sawyer,234
Luis Alejo*,235
"CONWAY, CONNIE",236
Lathe Gill,237
"NEHRING, RON",238
Allan R. Mansoor,22
"SHELDON, SAM",239
"WHALEN, ROBERT",240
John Garamendi,241
"SANDERS, JOANNE B.",242
"WISSOT, MICHAEL J.",243
"WASHINGTON, PATRICIA A.",244
"FLORA, HEATH",245
"GROPER, RICHARD",246
"CANNELLA, ANTHONY",247
"DAVIS, GRAY",248
"STASEK, ROSEMARY VERONICA",249
"KOPPULA, PATRICK R",250
Ed Hernandez*,251
"HUFFMAN, JARED",178
Todd Gloria,252
"LINDBLAD, JOHN P. (JACK)",253
Janice Hahn,254
Theresa Sanford,199
"IRLANDO, ANDRES",255
"BLOOM, RICHARD",256
Bill Batey,257
Kevin McCarty,258
Jim Frazier*,259
Madison Nguyen,260
"CHU, KANSEN",261
Adam Nick,262
"AGHAZARIAN, GREG",263
Clint Curtis,264
Greg Conlon,265
"GALLAGHER, JAMES",266
Stephen Meade,267
Cory Ellenson,268
"TORRES, NORMA",193
"UMBERG, TOM",269
"MARSHALL, G. RICK",270
"CURTIS, DAVID S.",271
"SPEIER, JACKIE",272
Jenny Oropeza*,273
Warren P. Willis,274
Eric F. Linder,275
"GRAY, ADAM C.",276
"HERRERA, ESAU",277
Al Phillips,278
"STEVENS, GEORGE",279
"DO, CONG THANH",280
Chad Mayes,281
"COHEN, MALIA M.",282
"DYE, DOUGLAS",283
"PIROZZI, ELIA V.",284
"JAWAHAR, C J",285
James Corbett,286
"PETRUZZO, STEPHEN M.",287
Bonnie Garcia,288
"YEE, LELAND Y.",289
"FRIEDMAN, LAURA",290
"CARROLL, DAMIAN",291
Zachary Taylor,292
"CHABOT, PAUL",293
"RIVAS, LUZ",294
"QUINTO, RAY R.",295
"HENTSCHEL, NOEL IRWIN",296
"RUBIN, CHRISTINE",297
"LEYES, MAK",298
Rich Gordon,299
"HERNANDEZ, EDWARD P.",300
"ALI, MICAH",301
"GAINES, BETH",302
"FUENTES, YOLANDA",303
Jack Mobley,304
Todd Zink,305
"SCHAUPP, CHARLES E.",306
"COOK, PAUL",166
Adam Gray*,276
Brad Sherman*,307
"RENDON, ANTHONY",308
"NICKEL, WILEY",309
Nanette Diaz Barragán,310
"DODD, BILL",311
"VALADAO, DAVID G.",312
James E. Theis,313
"YEE, GARRETT S.",314
Kristin Olsen*,315
Rob Walter,316
Patty Lopez,317
"JOHANNESSEN, K. MAURICE,",318
"WILDER, DEBORAH",319
"JENKINS, STEW",320
"JACKSON, MICHAEL A.",321
"KNELL, DEREK P",322
Susan Bonilla,323
"COHELAN, TIMOTHY DOUGLAS",324
"MC CAULLEY, OLLIE M.",325
"CANCIAMILLA, LAURA",326
"MADUENO, VIRGINIA",327
Kenny Coble,328
"SHERARD, MAXINE J.",329
"HODGES, SHERRY",99
"GAINES, EDWARD",330
Mark Leno*,331
"Roderick ""Rod"" Wright*",332
"VARGAS, JUAN C",333
"BACA JR. JR., JOE",334
Bill Lockyer*,335
Scott Wiener,336
"HART, GREGG",337
"TOPALIAN, RITA",338
"STEEL, MICHELLE",339
Al Muratsuchi,340
"CHANG, BARRY",341
"GRAYSON, TIM",342
G. Rick Marshall,270
"ARELLANO, CHRISTOPHER",343
"MENDOZA, GARY S.",344
Jack Orswell,345
"JANG, KEVIN H.",346
"LEYVA, CONNIE",347
"STONE, JEFFREY E.",348
Bao Nguyen,349
"KATZ, ANDY",350
"WATSON, GUADALUPE R.",351
"WESSON, JR., HERMAN J.",352
"CENTER, BRIAN",353
"DE YOUNG, DENNIS",354
"BRUNTON, BOB",168
Paul Chabot,293
"GRANLUND, BRETT",355
"CLARK, JASON P.",356
Juan Vargas*,333
Sharon Quirk-Silva,357
"BRULTE, JAMES L.",358
Jim Judd,359
Amanda Renteria,360
"LUJAN, LOUIE A.",361
"CONNOLLY, DAMON M.",362
"SANSCHAGRIN, MARC",363
"CERVANTES, SABRINA",364
Wayne Miller,365
Melinda K. Vásquez,366
Esiquio Ramos Uballe,367
"OLLER, THOMAS",368
"MONVILLE III, LOUIS G.",369
"ALLEN, DEBORA",370
"KELLY, CHRIS",371
"JOHNSON SR., NORMAN",372
"VERES, STEVE",373
Rick Tubbs,374
Gwen L. Morris,70
"MUNN, JOHN R.",375
"BARTON, JOHN H.",376
"STONE, MARK",129
Morgan Osborne,377
Star Parker,378
Andy Vidak,379
"VASQUEZ, MELINDA K",366
"DUCHENY, DENISE MORENO",380
"CHRISTIAN, RAKESHKUMAR",381
Atul Saini,382
"GILMORE, DANNY D.",383
"JENKIN, WILLIAM R.",384
"VENEGAS, ARTURO",385
"MC CLINTOCK, THOMAS",386
"STEINBERG, DARRELL",387
"BOWEN, DEBRA",388
Grace F. Napolitano,389
"PATTERSON, JIM",390
James Veltmeyer,391
Charles Rouse,392
"YEE , BETTY T.",393
"RIOS, PEDRO",394
"LOWENTHAL, BONNIE",395
Ed Hernandez,251
Catharine Baker,396
Eugene Ruyle,397
"DEROSE, JANINE",398
"DEAR, DONALD,",399
"SANDERS, JOANNE",242
"GALVAN, ISAAC",400
"HAYNES, RAYMOND N.",401
Richard B. Fox,402
Roger Allen Petersen,403
"PODESTO, GARY",404
Adrin Nazarian,405
"LOPEZ, PATTY",317
"SPITZER, TODD",406
Sam Farr*,407
Jeff Miller,153
Mary Christian Heising,408
Allan R. Mansoor*,22
"GIPSON, MIKE A.",409
"QUINTERO, FRANK",410
Janice Hahn*,254
"SPRENGER, BARBARA",411
"LIVENGOOD, ROBERT,",412
"DONNELLY, TIM",413
Matthew Munson,226
Pete Peterson,414
Judy Chu*,415
Juan M. Hidalgo Jr.,416
"VERONESE, JOE ALIOTO",417
Terry Phillips,418
"DALAL, RAJIV",419
"SHEN, GEORGE",420
Barbara Boxer*,421
"MAGGARD, MIKE",422
"WILCOX, DAVID C.",423
"WOOD, CARL",424
Rocky J. Chávez*,425
Joe Baca*,51
"SIGG, CLAY W.",426
Ardy Kassakhian,427
"POOCHIGIAN, CHUCK",428
"KEHOE, CHRISTINE",429
Adrienne Nicole Edwards,430
Bill Quirk,431
"GARCIA, RAQUEL",432
CJ Jawahar,285
Casey Lucius,433
"DEAZTLAN, AMALIA U.",434
"PADILLA, ALEX",72
"LOGUE, DANIEL R.",435
"JOBRACK, SOL",436
"BLOUNT, ANDREW",437
Linda K. Jones,438
"MURRAY, KEVIN",439
"MIKULACO, RONALD P.",440
"HAMMOND, LAUREN R.",441
"ALLEN, TRAVIS",442
James L. Andion,443
"KURZNER, PHILLIP",444
Shirley N. Weber*,445
"DECKER, BARBARA V.",446
Jeff Miller*,153
Van Tran,447
Jane Kim,448
"LESLIE, R. TIM",449
"WELLS, BILL",450
"BAGLEY, SHAWN",451
"ANDERSON, ADAM",452
"SVONKIN, SCOTT",453
"SAMUELIAN, STEVEN N.",454
"ALDANA, MANUEL",455
Kenneth W. Wright,456
"CUTHBERT, ROBERT",457
Alex Padilla,72
Reggie Jones-Sawyer*,121
Freddie Rodriguez*,138
"ROTH, RICHARD D.",458
Diane Gabl,459
"ROBLES, SYLVIA A.",460
"HARMON, HEIDI",461
"NAPOLI, KATHY CHAVEZ",462
"Linda ""Ellie"" Black",463
Paulina Miranda,464
James Gallagher,266
"COSTA, JIM",465
S. Monique Limón,466
"OBERNOLTE, JAY",467
"FLOREZ, DEAN",468
"RAMSEY, CHARLES TILLMAN",469
"YEE, BETTY T.",393
"WAPNER, ALAN",470
"SALINAS, SIMON",471
"FRAZIER JR., JAMES L.",472
"CHOI, STEVEN",473
"ESCUTIA, MARTHA M.",474
Wesley Chesbro*,475
"BACA. JR., JOE",476
Dave Jones,477
"SANDOVAL, GABRIEL",478
"SKLAR, ERIC",479
Rita Topalian,338
Lenore Solis,480
Ashley Swearengin,481
Dan Lungren*,482
"MONNING, WILLIAM W.",483
"SMITH, MARIANNE BOPP",484
"NUNEZ, FABIAN",485
John Chiang*,486
"BUCK, JILL ANN",487
"TOM, UMBERG",488
Barbara Lee,489
Barbara Decker,446
"LEACH, LYNNE C.",490
"BLAIS, NEIL",491
Edward Headington,492
Christina Gagnier,493
Matt Dababneh,494
"JONES-SAWYER SR., REGINALD BYRON",495
"MEGAW, SHARI",496
Gloria Negrete McLeod*,497
"JACKSON, HANNAH-BETH",498
"CARLSON, KEITH",499
Richard Roth,458
"MONTANEZ, CINDY",500
"THOMAS, STEVE",501
Ken Vogel,502
"VINCENT, EDWARD",503
Kevin Mc Carthy*,258
Larry A. Wilske,504
"MUNN, JOHN",375
Grace F. Napolitano*,389
Darrell R. Fong,505
"MURRAY, CYNTHIA L.",506
Nancy Skinner,507
Pat Meagher,508
"STEINER, DUSTIN M.",509
"Jose ""Joe"" Moreno",510
"POPP, ELENA",511
"BROWN, RYAN K.",512
"OLSEN, KRISTIN M.",315
"CHIANG, JOHN",486
"BERRYHILL, TOM",513
"MEUSER, MARK",514
Howard L. Berman,515
Ben Hueso*,516
"GROPER, RICHARD P.",517
"SWEARENGIN, ASHLEY",481
Mike Morrell*,518
"GOULD, JOHN",519
"WIECKOWSKI, ROBERT",520
Ryan Downing,521
"TAYLOR, RENEE N.",522
Rene Pineda,523
"HAUGHEY, THOMAS P.",524
Heath Flora,245
"LOGUE, DANIEL",435
"PHILLIPS, STEVE",525
Bob Hertzberg,526
Jared Huffman*,178
"POPE, MATTHEW J.",527
Dawn Ortiz-Legg,528
"RITCHIE, EDWARD H",529
"WARNER, RUSS",530
Steve Fox*,531
"HARE, DAVID M.",532
Eileen MacEnery,533
Adam Gray,276
"Edwin ""Ed"" Chau",534
Peter Amundson,535
"DHILLON, HARMEET K.",536
"PINE, DAVE",537
Bob Wieckowski,538
"FLYNN, JOHN T.",539
"BILLECI, CHRISTINA R.",540
"JONES, WILLIAM L.",541
"BREYER, MICHAEL C.",10
Randy Loftin,542
"GARAMENDI, JOHN",241
"GAINES, BETH B.",302
Nancy Pelosi*,543
"GROVE, SHANNON",544
"SBRANTI, TIM",545
Sebastian Mark Ridley Thomas*,546
Sally J. Lieber,547
"MAC MURRAY, JOHN P.",548
Jerry Brown,549
Rick D. Redding,550
"NOWATKA, PAUL M.",551
"BIGELOW, FRANK",552
"CHAVEZ, EDWARD \ED\""""",553
"NORBY, CHRIS",554
"AGBALOG, ROMEO",555
Rob Rowen,556
"CAMPOS, DAVID",557
Edward Ritchie,558
Ari Grayson,104
Palmer Kain,559
"BACA, JEREMY",560
"MOBLEY JR. , JACK M.",561
Tue Phan,562
"ALARCON, RICHARD",563
Darrell Issa,564
"NEAL, STEVE",565
Mark Stone,129
"HOLDEN, NATE",566
"AMMIANO, TOM",567
John Coffey,568
"SAENZ, EDGAR",569
"MCGARRY, NELLIE",570
Loretta Sanchez*,571
"MC GUIRE, MIKE",572
"GORELL, JEFF",573
"TUROCI, TODD L.",574
"ELLIS, STANLEY WILLIAM",575
"BATEY, WILLIAM",576
"PARKER, DARREN W.",577
"BLUMENFELD, ANDREW J",87
"CACCIOTTI, MICHAEL ANTHONY",578
Hillary Clinton,579
"MILLER, DAVID D.",580
Phil Paule,581
"MEUSER, MARK P.",514
"FERGUSON, JAMES C.",582
"BERMAN, MARC",583
"ALIOTO-PIER, MICHELA",584
"DUNN, JOSEPH",585
"DAUCHER, LYNN",586
"CONRAD, WILLIAM",587
"BARIC, STEVE",588
"MC CARTY, KEVIN",258
"Gerald ""Gerry"" Manata",589
"LANCASTER, CHRISTOPHER W.",590
Baron Bruno,591
"QUINTERO, ANDRE",592
"RUSNAK, VICTORIA",593
John A. Perez*,594
Angel Cardenas,595
Mike Honda*,596
"ALBERT-SHERIDAN, LENORE L.",597
Jill Stein,598
"PARDUE-OKIMOTO, ROCHELLE",599
Patricia A. Kotze-Ramos,600
"BARRIENTOS, MARY",601
"ERLICH, DAVID M.",602
"MENDOZA, SANDRA Y.",603
"DAVIS, STEVEN",604
"PUGNO, ANDREW",605
"HOFFMAN, ANDRA",606
Robert Murray,607
Adam B. Schiff,608
"ARNERICH, NEWELL",609
Gilbert V. Gonzales,610
"FIREBAUGH, MARCO",611
"SANCHEZ JR., ANGEL",612
Ami Bera,613
"CASSIDY, ANDREW J.",614
Walter O. Villarreal,615
Tom Torlakson,616
Bill Dodd,311
Julia Brownley,617
Hannah-Beth Jackson,498
Michael Havig,618
Cheryl Cook-Kallio,118
"CARLSTROM, ERIN",619
"DUNN, JOE",620
"MC CARTY, KELLY",621
Steve Fox,531
Jimmy Panetta,622
"NICKEL III, GEORGE W.",623
"GROVEMAN, BARRY",624
"CHANG, LING-LING",625
Zoe Lofgren*,626
David B. Secor,627
"BACA JR., JOE",476
"HANCOCK, LONI",628
"PEACE, STEVE,",629
"HODGE, JASON",630
Chris Norby*,554
"KEENE, RICHARD J.",631
Dave Peiser,632
"BREWER, MARILYN C.",633
"FRANDSEN, GREY",634
"PARK, KEN",136
Phil Ting,635
"BROWN, ROBERT K. \ROB\""""",636
Tim Grayson,342
"TORGAN, BRADLY S.",637
Suzanne Joyce Savary,638
Bob Filner*,639
Lucille Kring,640
Conrad Melton,641
"PERKINS, ROBERT E.",642
"DAVIS, SAUNDRA",643
Gil Navarro,644
Dave Jones*,477
Rudy Aranda,147
Gloria Estela La Riva,645
"LOWE, ROBIN",646
Jackie Speier,272
Matthew Herold,647
Rodney D. Robinson,648
Steve Knight,649
"ING, MITCHELL",650
N Eugene Cleek,651
Bill Berryhill*,652
"MEDINA, ABIGAIL M.",653
"CEDILLO, GILBERT",654
"MAGEE, ROBERT E.",655
"ANTONOVICH, MICHAEL D.",60
"VOGEL, KEN",502
"RICASA, ARLIE",656
"HOWARD, JANE",657
Abel Maldonado,658
"HOLLINGSWORTH, DENNIS",659
Kevin De Leon,660
Connie M. Leyva,347
Charlie Schaupp,661
"MC CARTHY, KEVIN",258
"MAC CARLEY, MARK J",662
"WIENER, SCOTT D.",336
Tony Cardenas*,663
Lincoln Pickard,664
Brian Maienschein*,665
"STINCHCOMBE, KAI H.",666
Michael Crimmins,667
Nathan Mintz,668
"GUERRA, MARIO A.",6
Autumn Burke,669
"SIEGLOCK, JACK A.",670
"BLANTON, STEVE",671
John Tavaglione,672
Cristina Garcia,176
Diane L. Harkey*,673
Greg Rodriguez,674
"NEWSOM, GAVIN",675
"POLANCO, RICHARD",676
Julie Craven,677
Warren Furutani*,97
"MARTINEZ, DIANE",678
"FEUER, MICHAEL NELSON",679
"OROPEZA, JENNY",273
"BOCANEGRA, RAUL",196
K. Bruce Brown,680
"MOBLEY, JACK",304
"SHERMAN, BRAD",307
Kristin Olsen,315
"BECERRA, XAVIER",41
"MACALUSO, FRANK A.",681
John A. Pérez*,594
"SPEIER, JACQUELINE",682
Jerome E. Horton,84
"GLOVER, MICHAEL G.",683
Lenore Albert-Sheridan,597
"DOUGLAS, FARRAH",684
"BONHACH, HEATHER PETERS",685
"SEGURA, MARTA",686
"Antonio ""Tony"" Amador",59
"FOSTER, BOB",687
"WERDEGAR, KATHRYN",688
Young Kim,689
"MC CAMMON, WILLIAM J.",690
Susan A. Davis*,691
"CHAVEZ, RENEE",692
Tom Ammiano*,567
Howard L. Berman*,515
"MOUNTJOY, DENNIS",693
"RAO, ROBERT",694
"NESTANDE, BRIAN",695
Lou Correa*,202
Linda T. Sánchez*,696
Henry J. Bestwick,697
Gary DeLong,698
"HEWITT, JEFFREY",699
"KROUSE, THOMAS",700
"MC FADDEN, BRADLEY J.",701
"BOGH, RUSSELL V.",702
"EISENHUT, JOHN",703
"SMITH, ROBERT W.",704
David Erlich,602
"LOWENTHAL, JOSH",705
Ted Gaines*,706
Ryan K. Brown,512
"MORROW, BILL",707
Kevin Mullin,708
Adam Joshua Miller,709
"PHARES, ANA VENTURA",710
Jose Solorio,711
Michael Williamson,712
"RIGHEIMER, JIM",713
"EBENSTEIN, JEFF",714
"VELAZQUEZ, IGNACIO",715
"ROWEN, ROBERT J.",716
"KELLEY, DAVID G.",717
Steve Fazio,718
"MIRANDA, PAULINA M.",464
Casey C. Higgins,719
"BROWN JR., WILLIE L.",720
"FROST, ROBERT",721
"ALLARD II, JOHN B.",722
Adrin Nazarian*,405
"DEL CARLO, MATTHEW S.",723
Bill Monning*,724
"INKS, JOHN M.,",725
Merlin Froyd,726
"RIDLEY-THOMAS, MARK",727
"K.H. ""Katcho"" Achadjian*",728
"KURTH, DON",729
"WILSON, THOMAS W.",730
"SKIPWORTH, STANLEY T.",731
"VOORAKKARA, SID",732
"HOGUE, ERIC K.",733
"NEAL, KATHY",734
"Robert ""Bob"" Huff*",735
"GRIESS, GABE",736
"HUFF, ROBERT 'BOB'",735
Barack Obama*,737
"TRAN, JOHN",738
"JAFRI, KHALID JEFFREY",739
Jerome E. Horton*,84
"CABALLERO, ANNA",740
Garrett M. May,741
"MULLIN, GENE",742
"HARTZ, BARRY K.",743
"LLOYD, JUDY BIVIANO",744
Eric Shooter Hickok,745
"CHU, JUDY",415
"NAVA, PEDRO I.",746
"PETERSON, PETE N.",414
"SANCHEZ, ANTONIO",747
Jim Costa,465
"ELLENSON, CORY H",268
"MILSTEIN, ELEYNE S.",748
"FILSON, STEVE",749
"YOUNG, STEVE",750
"DE OCAMPO, ALEX",751
"CASERTA, DOMINIC J.",752
Phil Jennerjahn,753
Brigham Sawyer Smith,754
Michael Allen,755
Das Williams*,756
"DOVINH, JOE",757
"ROTHMAN, JASON A.",758
"URIAS, BRYAN",759
David R. Hernandez,760
"ALPERT, DEDE",761
"MILLER, ADAM J.",103
"RASMUSSEN, LESA",762
Dakin Sundeen,763
Frank Bigelow,552
Kerry J. Nelson,764
"MURRAY, ADAM",765
Connie Conway*,236
"KENNEDY, JOHN",766
"NELSON, CRISTI",767
Karen Brooks,768
Martha E. Flores-Gibson,769
"Fotios ""Frank"" Tsimboukakis",770
Nick Bloise,771
"JACOBI, VERONICA S.",772
"BEECHAM, NANCY LEE",773
"ANDERSON, KATE",774
"VIDAL, THOMAS H.",775
"GREEN, MARK",776
Beth B. Gaines*,302
"CAMPOS, NORA",777
"PAN, RICHARD",183
"AGUIRRE, RICHARD",778
"PACHECO, GAYLE E.",779
"DABABNEH, MATTHEW",780
"BENOIT, JOHN",781
Miguel Santiago,782
"BIRNBAUM, RON",783
Larry Aceves,784
Loren Hanks,785
Stephen C. Smith,786
"ROBINSON, JACQUE",787
Mike Honda,596
"MEDINA, JOSE J.",29
"Suzanna ""Sam"" Aguilera-Marrero",788
Glen Ratcliff,789
"COOLEY, KEN",790
"SMITH, MEL",791
"BENNETT, JEFFREY P.",792
"BLAKESLEE, SAM",793
"FLORES-GIBSON, MARTHA",794
"HODGES, SHERRY M.,",795
"GALGIANI, CATHLEEN",132
"GARCIA, EDUARDO",796
Rudy Salas*,797
"IGLESIAS, CECILIA",798
"WOLK, LOIS",799
Pedro A. Rios,394
"SALADINO, MARK J.",800
Robert M. Hammond,801
"ALDANA JR., MANUEL",802
Duncan Hunter,803
"PARRA, NICOLE",804
"SILVA, JIM",131
Ken Arnold,805
"LANCASTER, GORDON K.",806
Anna Caballero,740
"JONES, DAVE",477
"PANAHI, SEAN JAY",807
"BONILLA, SUSAN",323
"CRISTICH, CRISTI L.",808
"TORLAKSON, MAE",809
"HUESO, BEN",516
"THOTTAM, PETER L.",810
Laura Friedman,290
"HUNTER, TRICIA RAE",811
"MARQUEZ, LUIS",812
Luis Alejo,235
"GLORIA, TODD",252
Evelyn Li,813
Jimmy Gomez*,210
Ed Chau,814
"QUIRK, BILL (WILLIAM J.)",815
"SKINNER, NANCY",507
Brandon Shoemaker,49
"EBENSTEIN, JEFFERY",816
"HAYASHI, MARY",817
Emilio Huerta,818
"OLBERG, KEITH R.",819
"LAND, ABBE",820
"STEINMEIER, JOANN",821
"BLAKE, JUSTIN",822
"BOSETTI, RICK A.",823
"SMITH, RON",824
Mark Starritt,825
"TORLIATT, PAMELA",826
Jaime Patino,827
"Marco Antonio ""Tony"" Leal",828
"FURUTANI, WARREN T.",829
Ken Calvert,830
Carl Wood,424
"BRANDT, JIM",831
Brian Nestande,695
"MC COY, ROB",832
Dianne Feinstein*,833
"PETERSON, PETE",414
"WICKMAN, RENEA",834
"ALVAREZ, CLAUDIA",835
"DAVIS, PATRICIA S.",836
Nicholas Sclavos,837
Peter O. Anderson,838
"UEBERROTH, PETER",839
"FOX, STEVE",531
"GONZALES, RICARDO M.",840
"STODDER, SETH",841
"HARRINGTON, MICHAEL",842
"MENDOZA, RUDY",843
"KIGHT, CARL P.",844
Ed Chau*,814
Abram Wilson,845
"LAURITSEN, JOHN",846
"HOLT PFEILER, LORI",847
"ZACARIAS, HILDA",848
Ed Royce*,849
"Joe Baca, Jr.",476
"SCHNUR, DAN",850
Karen Bass*,851
"KRIEGEL, DOUG",852
"HOLDEN, CHRIS",853
"BRUNO, BARON",591
Judy Jones,854
"CAPLES, BRIAN",855
"MISSAKIAN, CRAIG",856
"LEMPERT, TED",857
"VON SZELISKI, HEIDI J.",858
Betty T. Yee*,393
Frank Miranda,859
"SOLORIO, JOSE",711
Bryan Caforio,860
