TargetCandidateName,TargetCandidateOffice,TargetPropositionName,ExpenderPosition,ExpenderName,ExpenderID,Amount,ExpenditureDscr,PayeeName,DateStart,DateEnd,DateRange
"Thurmond, Tony",Superintendent of Public Instruction,,O,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,25000.5,PHO,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Salas, Rudy",State Assembly,,S,BAKERSFIELD CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,1352944,2650.0,RADIO ADS (11/5-11/6),,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 5 - CHANGES REQUIREMENTS FOR CERTAIN PROPERTY OWNERS TO TRANSFER THEIR PROPERTY TAX BASE TO REPLACEMENT PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,CALIFORNIA ASSOCIATION OF REALTORS ISSUES MOBILIZATION PAC,1025675,37.77,CONSULTING,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 5 - CHANGES REQUIREMENTS FOR CERTAIN PROPERTY OWNERS TO TRANSFER THEIR PROPERTY TAX BASE TO REPLACEMENT PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,CALIFORNIA ASSOCIATION OF REALTORS ISSUES MOBILIZATION PAC,1025675,1445.21,"VIDEO PRODUCTION, SOCIAL MEDIA AND CONSULTING",,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,O,CALIFORNIA ASSOCIATION OF REALTORS ISSUES MOBILIZATION PAC,1025675,37.77,CONSULTING,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,O,CALIFORNIA ASSOCIATION OF REALTORS ISSUES MOBILIZATION PAC,1025675,1445.21,"VIDEO PRODUCTION, SOCIAL MEDIA AND CONSULTING",,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Newsom, Gavin",Governor,,O,JOBS AND OPPORTUNITIES ALLIANCE,1410801,1800.0,Video Ads,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Lara, Ricardo",Insurance Commissioner,,S,Equality California Political Action Committee,1254010,5000.0,DIGITAL ADS,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Lara, Ricardo",Insurance Commissioner,,S,Equality California Political Action Committee,1254010,6889.33,PHONE CALLS,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Salas, Rudy",State Assembly,,O,"Family Farmers Working for a Better California, Sponsored by Western Growers Association, Opposed to Salas for Assembly 2018",1349220,10000.0,inv#863 Consulting services Nov2018,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,32250.0,DIGITAL ADS,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,1033.63,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,5000.0,Consulting,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Wicks, Buffy",State Assembly,,S,"Coalition for East Bay Health Care Access, Affordable Housing and Quality Public Schools, supporting Buffy Wicks for Assembly 2018",1412051,10000.0,"CNS, WEB",,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,694.02,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,722.51,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,718.04,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,711.17,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,729.6,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Lustro, Steve",City Council,,S,POMONA POLICE OFFICERS ASSOCIATION PAC,1243790,26.87,"FACEBOOK AD (CUMULATIVE TO DATE: $2,910.21)",,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Thurmond, Tony",Superintendent of Public Instruction,,S,VALLEY FORWARD NONPROFIT 501(C)(4) SPONSORED BY FRESNO-MADERA-TULARE-KINGS LABOR COUNCIL COMMITTEE ON POLITICAL EDUCATION,1406236,1971.0,Print Materials and Field Campaign,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,12500.0,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,20000.0,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Thurmond, Tony",Superintendent of Public Instruction,,O,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,12500.0,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,625.0,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Hurtado, Melissa",State Senate,,S,VALLEY FORWARD NONPROFIT 501(C)(4) SPONSORED BY FRESNO-MADERA-TULARE-KINGS LABOR COUNCIL COMMITTEE ON POLITICAL EDUCATION,1406236,1351.85,Print Materials and Field Campaign,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,660.85,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,665.72,WEB,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Tuck, Marshall",Superintendent of Public Instruction,,S,Bill Bloomfield,1013130,110000.0,PRT,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Bates, Patricia",State Senate,,S,DART CONTAINER CORPORATION,1324683,2354.7,PHONE CALLS,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"",,PROPOSITION 10,S,ENVIRONMENTAL HEALTH COALITION,1333343,566.21,CANVASSING,,2018-11-04T00:00:00Z,2018-11-04T00:00:00Z,2018-11-04
"Lustro, Steve",City Council,,S,POMONA POLICE OFFICERS ASSOCIATION PAC,1243790,26.87,"FACEBOOK AD (CUMULATIVE TO DATE: $2,910.21)",,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Muratsuchi, Al",State Assembly,,S,Asian Pacific Islander Leadership PAC,1410185,4374.15,Robocalls (11/3/18 - 11/5/18),,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,682.24,WEB,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,653.47,WEB,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,676.64,WEB,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Newsom, Gavin",Governor,,S,Los Angeles County Democratic Party ? Issues & Advocacy Committee,1019126,10000.0,"Text Messages $10,000.00",,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Newsom, Gavin",Governor,,O,Californians For Accountability,1400650,1645.0,Truck rental,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Thurmond, Tony",Superintendent of Public Instruction,,S,Planned Parenthood Action Fund of the Pacific Southwest PAC,1280724,3333.33,Phonebank (11/3-11/6),,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Rubio, Susan",State Senate,,S,Keep California Golden,1376693,57344.67,Field Expenses (Estimated Costs),,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Musser-Lopez, Ruth",State Senate,,S,MUSSER-LOPEZ FOR CA SENATE 2018; RUTH,1403226,1475.0,Estimated additional amount to be invoiced or gifted for mailing services and postage.,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS' AUTORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE,S,CHINESE PROGRESSIVE ASSOCIATION 'NONPROFIT 501(C)3',1380710,264.21,"#Notsocrazyrichasian video ad post  YTD: $56,020.84",,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS' AUTORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE,S,CHINESE PROGRESSIVE ASSOCIATION 'NONPROFIT 501(C)3',1380710,235.79,"Prop 10 boosted Facebook post  YTD: $56,020.84",,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Ramos, James",State Assembly,,S,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,1387303,25000.0,TELEPHONE CALLS AND TEXT MESSAGES,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Cervantes, Sabrina",State Assembly,,S,DART CONTAINER CORPORATION,1324683,3749.0,DIGITAL ADS,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Cervantes, Sabrina",State Assembly,,S,DART CONTAINER CORPORATION,1324683,3751.0,DIGITAL ADS,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,344000.0,WEB,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Thurmond, Tony",Superintendent of Public Instruction,,O,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,86000.0,WEB,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,PROPOSITION 10,S,ENVIRONMENTAL HEALTH COALITION,1333343,566.21,CANVASSING,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"",,PROPOSITION 10,S,ENVIRONMENTAL HEALTH COALITION,1333343,187.0,MAILER,,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-03
"Lustro, Steve",City Council,,S,POMONA POLICE OFFICERS ASSOCIATION PAC,1243790,26.86,"FACEBOOK AD (CUMULATIVE TO DATE: $2,910.21)",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,S,CHINESE PROGRESSIVE ASSOCIATION 'NONPROFIT 501(C)3',1380710,8911.92,Cost of #Notsorichasian video support Prop 10  YTD: 12651.84,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Beckles, Jovanka",State Assembly,,S,"East Bay Working Families, a coalition of unions and community groups",1390351,6756.25,Text Messages,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Beckles, Jovanka",State Assembly,,S,"East Bay Working Families, a coalition of unions and community groups",1390351,12109.09,Phone Calls,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Beckles, Jovanka",State Assembly,,S,"East Bay Working Families, a coalition of unions and community groups",1390351,1410.72,Data,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,6000.0,Production for Radio Ads,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,160000.0,"Digital, Radio and Television Ads",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,5602.28,Data for Robocalls,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,30300.0,Robocalls,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,30917.0,MAILER,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,5100.0,NEWSPAPER AD,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Norris, Cottie Petrie",State Assembly,,S,California Progressive PAC,1407923,10500.0,"WEB $104,482.00",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 5 - CHANGES REQUIREMENTS FOR CERTAIN PROPERTY OWNERS TO TRANSFER THEIR PROPERTY TAX BASE TO REPLACEMENT PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,CHINESE PROGRESSIVE ASSOCIATION 'NONPROFIT 501(C)3',1380710,24505.0,"Field contract APEN Action Committee phone bank.  YTD: $44,512.42",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 5 - CHANGES REQUIREMENTS FOR CERTAIN PROPERTY OWNERS TO TRANSFER THEIR PROPERTY TAX BASE TO REPLACEMENT PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,CHINESE PROGRESSIVE ASSOCIATION 'NONPROFIT 501(C)3',1380710,18364.0,"Field contract for Korean Resource Center phone bank  YTD: $44,512.42",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,672.69,WEB,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,O,Californians For Accountability,1400650,960.0,Vehicle wrap,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,O,Californians For Accountability,1400650,2500.0,Graphic Design,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Kounalakis, Eleni",Lieutenant Governor,,S,African American Voter Registration Education and Participation Project,1226812,948.75,"PRT $4,520.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Kounalakis, Eleni",Lieutenant Governor,,S,African American Voter Registration Education and Participation Project,1226812,332.66,"PRT $4,520.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Kounalakis, Eleni",Lieutenant Governor,,S,African American Voter Registration Education and Participation Project,1226812,908.13,"LIT $4,520.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Kounalakis, Eleni",Lieutenant Governor,,S,African American Voter Registration Education and Participation Project,1226812,2331.0,"POL $4,520.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Rubio, Susan",State Senate,,S,Cooperative of American Physicians Independent Expenditure Committee,1070126,7500.0,DIGITAL ADVERTISING,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Coronado, Alexandria",State Assembly,,S,Southern California Coalition of Businesses and Taxpayers,1403100,1536.17,LIT & POS,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,,O,CITIZENS FOR A BRIGHTER TOMORROW,1403951,3000.0,Mailer,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,,O,CITIZENS FOR A BRIGHTER TOMORROW,1403951,3000.0,Mailer,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 7 - CONFORMS CALIFORNIA DAYLIGHT SAVING TIME TO FEDERAL LAW. ALLOWS LEGISLATURE TO CHANGE DAYLIGHT SAVING TIME PERIOD. LEGISLATIVE STATUTE.,S,California Democratic Party,1018392,13.56,printing,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,S,African American Voter Registration Education and Participation Project,1226812,948.74,"PRT $4,520.53",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,S,African American Voter Registration Education and Participation Project,1226812,332.66,"CNS $4,520.53",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,S,African American Voter Registration Education and Participation Project,1226812,908.13,"LIT $4,520.53",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Newsom, Gavin",Governor,,S,African American Voter Registration Education and Participation Project,1226812,2331.0,"POL $4,520.53",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 2 - Authorizez Bonds to Fund Existing Housing Program for Individuals with Mental Illness.,S,African American Voter Registration Education and Participation Project,1226812,948.75,"PRT $2,189.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 2 - Authorizez Bonds to Fund Existing Housing Program for Individuals with Mental Illness.,S,African American Voter Registration Education and Participation Project,1226812,332.66,"CNS $2,189.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 2 - Authorizez Bonds to Fund Existing Housing Program for Individuals with Mental Illness.,S,African American Voter Registration Education and Participation Project,1226812,908.13,"LIT $2,189.54",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Cohen, Malia",Board of Equalization,,S,African American Voter Registration Education and Participation Project,1226812,891.25,"PRT $2,056.84",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Cohen, Malia",Board of Equalization,,S,African American Voter Registration Education and Participation Project,1226812,312.5,"CNS $2,056.84",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Cohen, Malia",Board of Equalization,,S,African American Voter Registration Education and Participation Project,1226812,853.09,"LIT $2,056.84",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 6 - Eliminates Certain Road Repair and Transportation Funding. Requires Certain Fuel Taxes and Vehicle Fees be Approved by the Electorate.,O,African American Voter Registration Education and Participation Project,1226812,651.67,"PRT $3,831.44",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"",,Prop 6 - Eliminates Certain Road Repair and Transportation Funding. Requires Certain Fuel Taxes and Vehicle Fees be Approved by the Electorate.,O,African American Voter Registration Education and Participation Project,1226812,228.5,"CNS $3,831.44",,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Rubio, Susan",State Senate,,O,Working Families Supporting Mike Eng for Senate 2018 sponsored by labor and consumer attorneys organizations,1407560,10000.0,Digital Ads,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Eng, Mike",State Senate,,S,Working Families Supporting Mike Eng for Senate 2018 sponsored by labor and consumer attorneys organizations,1407560,30000.0,Digital Ads,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Lara, Ricardo",Insurance Commissioner,,S,Progress California supporting Ricardo Lara for Insurance Commissioner 2018 sponsored by labor and nonprofit health advocate organizations,1413233,27421.8,Text Calls,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
"Lara, Ricardo",Insurance Commissioner,,S,Progress California supporting Ricardo Lara for Insurance Commissioner 2018 sponsored by labor and nonprofit health advocate organizations,1413233,65000.0,Statewide Survey,,2018-11-02T00:00:00Z,2018-11-02T00:00:00Z,2018-11-02
